. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - I down,I - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. = t up,t - I up,I - e up,e - 5 up,5 - r up,r - o  up,o - a up,a - n up
1.98E-05,0.087924957,0.791951895,0.879621983,1.172571898,1.303888798,0.440987825,0.543376923,0.341511965,0.445413828,1.355503798,1.239599943,1.33604598,1.063638926,1.156230927,1.007969856,1.103563786,0.241794825,0.35785985,0.09971714,0.099475861,0.350964069,0.216017962,0.055669069,0.108932972,0.067028046,0.115903854,0.269934893,0.087553978,0.097963095,0.33624506,0.223941803,0.052667141,0.147657871,0.032157183
1.60E-05,0.108706951,0.844935894,0.93266201,1.237509012,1.361228943,0.428673983,0.524832964,0.317019939,0.423516035,1.43718791,1.31694603,1.412456036,1.140794039,1.243267059,1.052940845,1.156679869,0.196805,0.339490891,0.120214939,0.111654043,0.416261911,0.208004951,0.087853193,0.096714973,0.079437017,0.12024188,0.230783939,0.084025145,0.101316929,0.407829046,0.224017859,0.086587191,0.117961884,0.051227093
2.10E-05,0.111033916,0.719009876,0.813042879,1.079663038,1.214679956,0.367126942,0.479027033,0.286676884,0.386210918,1.238729954,1.162950993,1.262546062,0.983043909,1.063122034,0.91904211,1.022984982,0.167108059,0.270920038,0.119568825,0.080450058,0.351882935,0.200032234,0.064001799,0.096619129,0.083287954,0.075778961,0.159886122,0.11529088,0.092816114,0.334015846,0.209942102,0.040137053,0.151557922,0.047866106
2.10E-05,0.095881939,1.015928984,1.111671925,1.402393818,1.519560814,0.431922913,0.543389797,0.338945866,0.454952002,1.602324963,1.475973845,1.575833797,1.3035748,1.383838892,1.247919798,1.352314949,0.16761899,0.31969285,0.171326876,0.092977047,0.584006071,0.231990814,0.055655003,0.098819017,0.073580027,0.126351118,0.223810911,0.135259151,0.088437796,0.568282127,0.240643024,0.031523943,0.135721922,0.056272984
3.60E-05,0.099112034,1.560171127,1.661823034,1.960766077,2.079936028,1.096771955,1.183774948,0.967821121,1.072075129,2.144834042,2.016088009,2.128055096,1.847643137,1.944715977,1.784551144,1.896037102,0.880177021,0.98369813,0.0876441,0.128950834,0.463399172,0.224380016,0.063091993,0.11312294,0.055321932,0.128746033,0.884586096,0.088376999,0.11169982,0.478048086,0.234214067,0.048678875,0.135220051,0.048119068
2.10E-05,0.094459057,0.727772951,0.815703869,1.076158047,1.223870993,0.360377073,0.471901894,0.263977051,0.366168022,1.259520054,1.127958059,1.241769075,0.983793974,1.091390848,0.927908897,1.036320925,0.159818888,0.27975297,0.104158163,0.096400023,0.367395878,0.200135946,0.055885077,0.092364073,0.051800013,0.131561995,0.185293913,0.086415052,0.105733871,0.343801975,0.220617056,0.055069923,0.132480145,0.017898083
1.91E-05,0.112210989,0.720111132,0.815901041,1.257031918,1.389799118,0.344285965,0.440169096,0.275775909,0.359813929,1.43975091,1.328249931,1.416113138,1.127996922,1.23199892,1.023874044,1.168112993,0.159006119,0.264768124,0.116769791,0.068510056,0.375825167,0.303762913,0.104122877,0.129034996,0.071218014,0.111500978,0.152557135,0.095045805,0.080355167,0.375731945,0.352211952,0.063885927,0.157800198,0.02631402
1.81E-05,0.041836977,1.193734169,1.297855139,1.546959162,1.681787014,0.799154043,0.898399115,0.71569109,0.803827047,1.697757006,1.609941006,1.712841988,1.465738058,1.569564104,1.401883125,1.530626059,0.577886105,0.699154139,0.137804985,0.083462954,0.394580126,0.208148956,0.063854933,0.081221104,0.062981844,0.087816,0.657317162,0.104672909,0.094572067,0.399456024,0.23277092,0.038938046,0.11222291,0.031054974
2.00E-05,0.079936981,0.713105917,0.800018072,1.064147949,1.215863943,0.33614397,0.456203938,0.269095898,0.362891912,1.283447027,1.176011086,1.277070999,0.98365593,1.111932993,0.904197931,1.024108887,0.120043993,0.26434207,0.149051905,0.067048073,0.376961946,0.191092014,0.079457998,0.08049202,0.111863136,0.107435942,0.184405088,0.098549843,0.093312025,0.343814135,0.224090815,0.087824106,0.10393095,0.061207056
2.00E-05,0.048032045,0.831943989,0.943994999,1.264081001,1.423853874,0.464874029,0.552033901,0.364373922,0.440111876,1.544904947,1.376504898,1.504007816,1.192118883,1.278069973,1.071730852,1.211829901,0.231914043,0.327571869,0.132459879,0.100500107,0.36706996,0.239786863,0.120388031,0.071962118,0.112423897,0.168400049,0.279539824,0.112540007,0.111922026,0.391961098,0.267834902,0.066240072,0.145783901,0.080153942
2.10E-05,0.098413944,0.560005903,0.64684701,0.896705866,1.029410839,0.311455965,0.399729967,0.230813026,0.330754042,1.04787302,0.943799019,1.032588959,0.791833878,0.899061918,0.727975845,0.839473009,0.135603905,0.232336044,0.095209122,0.080642939,0.248549938,0.167969942,0.063858032,0.104871988,0.047093153,0.104074001,0.1339221,0.098417997,0.068975925,0.247117043,0.192625999,0.059588909,0.130348921,0.00317812
1.98E-05,0.095646858,0.735985994,0.824080944,1.106724977,1.279886007,0.391789913,0.503400803,0.275456905,0.351897955,1.306163788,1.224289894,1.295421839,1.032032967,1.12398982,0.957512856,1.063632965,0.159974813,0.263724804,0.115482092,0.116333008,0.344196081,0.221526861,0.074520111,0.074692011,0.117564917,0.081873894,0.168077946,0.088173151,0.151502848,0.320680141,0.239552021,0.060356855,0.155896187,0.015535831
2.10E-05,0.087871075,1.119945049,1.231727123,1.522831202,1.671943188,0.543951988,0.641729116,0.361033201,0.439460039,1.690095186,1.591960192,1.673588037,1.447943211,1.511675119,1.367961168,1.456310987,0.127972126,0.259188175,0.233061075,0.182918787,0.575993061,0.248016119,0.079982042,0.074887991,0.06912899,0.098134995,0.171317101,0.180271864,0.202269077,0.589998007,0.224583864,0.055364132,0.160268068,0.00164485
2.10E-05,0.079507113,0.695850134,0.799864054,1.143831968,1.306184053,0.311997175,0.415871143,0.239801168,0.341272116,1.339481115,1.223946095,1.322235107,1.063961983,1.15656805,0.967797041,1.079617023,0.095751047,0.208415031,0.144050121,0.072196007,0.383852959,0.271946907,0.096164942,0.079869986,0.080114126,0.115535021,0.128907919,0.132857084,0.074599028,0.38399291,0.27975297,0.076951027,0.149616003,0.016051054
2.10E-05,0.087527037,0.880393982,0.959888935,1.4129529,1.512151003,0.464956045,0.55973196,0.36453104,0.439884901,1.827900887,1.471960068,1.5516119,1.266103029,1.351858854,1.129534006,1.239979982,0.223824024,0.343649864,0.140707016,0.100425005,0.415437937,0.249140024,0.136569023,0.146849871,0.059007168,0.355940819,0.256122828,0.096235037,0.119847059,0.400156975,0.280091047,0.111878872,0.160292149,0.039460897
1.98E-05,0.100305796,1.340388775,1.436132908,1.765847921,1.915930986,0.652470827,0.756345987,0.482633829,0.556349993,1.99632597,1.852432966,1.945636988,1.676425934,1.745352983,1.580446959,1.695903778,0.34046483,0.468200922,0.142168999,0.169836998,0.687917948,0.240058184,0.095978975,0.089421988,0.086585045,0.143893003,0.367895126,0.088149071,0.199995995,0.679786921,0.25977087,0.049449205,0.170578003,0.029706001
2.10E-05,0.071908951,0.623961926,0.711683989,1.056009054,1.159690142,0.311690092,0.39991498,0.216038942,0.314454079,1.271986008,1.12797904,1.176188946,0.944005013,1.007871151,0.859882116,0.960624933,0.119856119,0.228579044,0.096182823,0.09565115,0.312271833,0.235920191,0.084122896,0.112004042,0.071969986,0.144006968,0.156670094,0.085875034,0.085460901,0.311769009,0.248940945,0.047246218,0.151818991,0.016498804
2.00E-05,0.103791952,0.724752903,0.783954859,1.124130964,1.215921879,0.375883818,0.46368289,0.276365042,0.32788682,1.288064003,1.176050901,1.240455866,0.991470814,1.047778845,0.936034918,1.024734974,0.14406991,0.255926847,0.132295132,0.099518776,0.348869085,0.211282015,0.055435896,0.132660151,0.051919937,0.112013102,0.152134895,0.071959972,0.13579607,0.320271969,0.240780115,0.023043871,0.168143034,0.024533987
2.41E-05,0.063724041,0.687652111,0.775871992,1.127934933,1.248028994,0.296005964,0.368093967,0.216154099,0.266489983,1.335587978,1.200166941,1.250185013,1.047732115,1.09591198,0.931935072,1.023880959,0.087891102,0.191885948,0.128262997,0.079851866,0.391646147,0.244282961,0.115797043,0.080202818,0.072232008,0.135421038,0.128161907,0.074604034,0.101603985,0.407778025,0.248008966,0.072031021,0.152117014,0.002156019
2.00E-05,0.087723017,0.767845154,0.86372304,1.663832188,1.783740044,0.351647139,0.439905167,0.271100044,0.319743156,1.863783121,1.727793217,1.807507038,1.543767214,1.634388208,1.447831154,1.567627192,0.111590147,0.223748207,0.159509897,0.080547094,0.416198015,0.679986,0.09593606,0.120064974,0.063961029,0.135989904,0.13602519,0.095994949,0.12016201,0.423817873,0.703904152,0.066761017,0.149351835,0.023766994
